dataset,target,encoder,model,input_features,output_features,fit_encoder_time,score_encoder_time,fit_model_time,score_model_time,test_matthews,train_matthews,test_auc,train_auc,test_brier,train_brier
audiology.arff,class,BinaryEncoder,SGDClassifier,69,149,0.8636569738388061,0.5892215490341186,0.001234889030456543,0.00014252662658691405,0.7990263098159839,0.9829766383868757,0.8962867647058825,0.9911759744383583,0.07571052136269527,0.0064023031331154985
audiology.arff,class,BinaryEncoder,LogisticRegression,69,149,0.8636569738388061,0.5892215490341186,0.005183362960815429,0.00013399124145507812,0.870710498210082,0.9935578294755629,0.9788235294117648,1.0,0.04413856958332714,0.0031861684384741156
audiology.arff,class,BinaryEncoder,SVC,69,149,0.8636569738388061,0.5892215490341186,0.01870245933532715,0.0004935503005981445,0.8526420249607221,1.0,0.9837254901960785,1.0,0.036242182934903264,0.0008297522730088868
audiology.arff,class,BinaryEncoder,KNeighborsClassifier,69,149,0.8636569738388061,0.5892215490341186,0.0008046627044677734,0.001754927635192871,0.7103805617843609,0.7720512769675636,0.9355147058823532,0.9779518436929427,0.10675663466967815,0.06728494486103946
audiology.arff,class,BinaryEncoder,GaussianNB,69,149,0.8636569738388061,0.5892215490341186,0.0013931751251220702,0.00042116641998291016,0.8130149803836424,0.8965266856591988,0.9217892156862746,0.9707430340557275,0.0810653115000941,0.04377254854843536
audiology.arff,class,BinaryEncoder,DecisionTreeClassifier,69,149,0.8636569738388061,0.5892215490341186,0.0011161088943481446,0.00012362003326416016,0.889522142114056,0.9652280503268328,0.9468627450980394,0.9938515866873067,0.039968144595156616,0.012061033698522863
audiology.arff,class,BinaryEncoder,GradientBoostingClassifier,69,149,0.8636569738388061,0.5892215490341186,0.3427384853363037,0.0006705284118652344,0.8831815240328907,1.0,0.9915686274509804,1.0,0.03750944023366416,1.6422062909160535e-07
audiology.arff,class,BinaryEncoder,RandomForestClassifier,69,149,0.8636569738388061,0.5892215490341186,0.9033380508422851,0.04652578830718994,0.8972865816695231,1.0,0.9915686274509804,1.0,0.030935962695275737,0.004067777403038592
audiology.arff,class,BinaryEncoder,MLPClassifier,69,149,0.8636569738388061,0.5892215490341186,0.6285538911819458,0.0003204345703125,0.8527386154586992,1.0,0.981764705882353,1.0,0.04408821777795175,0.0010612564003412751
audiology.arff,class,HashingEncoder,SGDClassifier,69,8,0.2104281187057495,0.027658677101135253,0.00057373046875,9.105205535888671e-05,0.14959381547098405,0.09717672267564437,0.5769117647058823,0.5528758500701225,0.2782572621851128,0.2829664384213008
audiology.arff,class,HashingEncoder,LogisticRegression,69,8,0.2104281187057495,0.027658677101135253,0.0014572620391845703,9.74893569946289e-05,0.008393316000943484,0.013389191767499909,0.7372671568627451,0.7710179424333836,0.169299177407645,0.16354188312073126
audiology.arff,class,HashingEncoder,SVC,69,8,0.2104281187057495,0.027658677101135253,0.005137825012207031,0.00017404556274414062,0.04286117768517916,0.11809092748857195,0.8202083333333332,0.8659489031780053,0.16336955740707806,0.15455322502880325
audiology.arff,class,HashingEncoder,KNeighborsClassifier,69,8,0.2104281187057495,0.027658677101135253,0.0005668878555297851,0.0008284568786621094,0.5249520797894344,0.6619322292939641,0.8451348039215686,0.9265259502923977,0.13823978919631094,0.09461033705324014
audiology.arff,class,HashingEncoder,GaussianNB,69,8,0.2104281187057495,0.027658677101135253,0.0006829500198364258,0.000293278694152832,0.19200660369920156,0.21381608155247048,0.8113357843137254,0.8334450497472943,0.6282260645023781,0.6274191449392982
audiology.arff,class,HashingEncoder,DecisionTreeClassifier,69,8,0.2104281187057495,0.027658677101135253,0.0005057573318481446,0.00010085105895996094,0.3310729125274433,0.5212838694005938,0.8131495098039215,0.8966648805271099,0.15058646882987814,0.10958920598034907
audiology.arff,class,HashingEncoder,GradientBoostingClassifier,69,8,0.2104281187057495,0.027658677101135253,0.3711462259292603,0.000702071189880371,0.5522160190675248,0.7904595510137228,0.864595588235294,0.9747918651266175,0.14867305809361925,0.055380728398230675
